name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
request_40	100	10	90	90	90	90	7990	7990	2620	2165	1984	2185	949	2230	667	2580	7990	2580	2620	7990	2610	t < 800 ms	4	4	800 ms < t < 1200 ms	0	0	t > 1200 ms	6	6	failed	90	90	0	0	0
request_41	100	6	94	30	30	140	14280	2630	14280	2583	1645	2642	1303	1131	1292	2840	2630	2840	2910	2630	2910	t < 800 ms	2	2	800 ms < t < 1200 ms	0	0	t > 1200 ms	4	4	failed	94	94	0	0	0
request_42	100	12	88	30	30	200	9470	9090	9470	2257	1765	2324	1941	2434	1853	8450	2650	8450	9420	9090	9420	t < 800 ms	6	6	800 ms < t < 1200 ms	0	0	t > 1200 ms	6	6	failed	88	88	0	0	0
request_8	100	100	0	20	20	-1	2050	2050	-1	1418	1418	-1	462	462	-1	1990	1990	-1	2050	2050	-1	t < 800 ms	6	6	800 ms < t < 1200 ms	19	19	t > 1200 ms	75	75	failed	0	0	0	0	-1
request_43	100	6	94	30	30	810	11480	11470	11480	2927	3415	2896	2122	3740	1969	9980	11470	2970	11470	11470	11460	t < 800 ms	1	1	800 ms < t < 1200 ms	1	1	t > 1200 ms	4	4	failed	94	94	0	0	0
request_9	100	100	0	40	40	-1	2540	2540	-1	2072	2072	-1	475	475	-1	2500	2500	-1	2530	2530	-1	t < 800 ms	4	4	800 ms < t < 1200 ms	0	0	t > 1200 ms	96	96	failed	0	0	0	0	-1
request_49	100	6	94	150	150	1700	3130	2880	3130	2420	2172	2436	370	934	291	2900	2880	2900	3020	2880	3020	t < 800 ms	1	1	800 ms < t < 1200 ms	0	0	t > 1200 ms	5	5	failed	94	94	0	0	0
request_48	100	4	96	1120	1970	1120	3760	2600	3760	2225	2203	2226	386	235	391	2940	2600	2940	3020	2600	3020	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	4	4	failed	96	96	0	0	0
request_45	100	11	89	40	40	180	3080	2390	3080	2246	833	2421	780	855	560	2950	2130	2960	3050	2390	3050	t < 800 ms	7	7	800 ms < t < 1200 ms	0	0	t > 1200 ms	4	4	failed	89	89	0	0	0
request_44	100	5	95	70	70	520	3140	3060	3140	2595	1724	2641	595	1174	507	3020	3060	3020	3140	3060	3140	t < 800 ms	2	2	800 ms < t < 1200 ms	0	0	t > 1200 ms	3	3	failed	95	95	0	0	0
request_47	100	3	97	240	270	240	14080	1960	14080	2113	1370	2136	1300	779	1306	2610	1960	2610	2790	1960	2790	t < 800 ms	1	1	800 ms < t < 1200 ms	0	0	t > 1200 ms	2	2	failed	97	97	0	0	0
